ID,标签,物种,性别,年龄,,,,,,,,,,,,,,
302,狍雌性成体,狍,雌性,成体,,,,,,,,,,,,,,,
303,狍成体,狍,无法区分,成体,,,,,,,,,,,,,,,
304,狍雄性亚成体,狍,雄性,亚成体,,,,,,,,,,,,,,,
305,狍雌性亚成体,狍,雌性,亚成体,,,,,,,,,,,,,,,
306,狍亚成体,狍,无法区分,亚成体,,,,,,,,,,,,,,,
307,狍幼体,狍,无法区分,幼体,,,,,,,,,,,,,,,
308,狍,狍,无法区分,无法区分,,,,,,,,,,,,,,,
309,林麝雄性成体,林麝,雄性,成体,,,,,,,,,,,,,,,
310,林麝雌性成体,林麝,雌性,成体,,,,,,,,,,,,,,,
311,林麝成体,林麝,无法区分,成体,,,,,,,,,,,,,,,
312,林麝雄性亚成体,林麝,雄性,亚成体,,,,,,,,,,,,,,,
313,林麝雌性亚成体,林麝,雌性,亚成体,,,,,,,,,,,,,,,
314,林麝亚成体,林麝,无法区分,亚成体,,,,,,,,,,,,,,,
315,林麝幼体,林麝,无法区分,幼体,,,,,,,,,,,,,,,
316,林麝,林麝,无法区分,无法区分,,,,,,,,,,,,,,,
317,原麝雄性成体,原麝,雄性,成体,,,,,,,,,,,,,,,
318,原麝雌性成体,原麝,雌性,成体,,,,,,,,,,,,,,,
319,原麝成体,原麝,无法区分,成体,,,,,,,,,,,,,,,
320,原麝雄性亚成体,原麝,雄性,亚成体,,,,,,,,,,,,,,,
321,原麝雌性亚成体,原麝,雌性,亚成体,,,,,,,,,,,,,,,
322,原麝亚成体,原麝,无法区分,亚成体,,,,,,,,,,,,,,,
323,原麝幼体,原麝,无法区分,幼体,,,,,,,,,,,,,,,
324,原麝,原麝,无法区分,无法区分,,,,,,,,,,,,,,,
325,松鸦雄性成体,松鸦,雄性,成体,,,,,,,,,,,,,,,
326,松鸦雌性成体,松鸦,雌性,成体,,,,,,,,,,,,,,,
327,松鸦成体,松鸦,无法区分,成体,,,,,,,,,,,,,,,
328,松鸦雄性亚成体,松鸦,雄性,亚成体,,,,,,,,,,,,,,,
329,松鸦雌性亚成体,松鸦,雌性,亚成体,,,,,,,,,,,,,,,
330,松鸦亚成体,松鸦,无法区分,亚成体,,,,,,,,,,,,,,,
331,松鸦幼体,松鸦,无法区分,幼体,,,,,,,,,,,,,,,
332,松鸦,松鸦,无法区分,无法区分,,,,,,,,,,,,,,,
333,红嘴蓝鹊雄性成体,红嘴蓝鹊,雄性,成体,,,,,,,,,,,,,,,
334,红嘴蓝鹊雌性成体,红嘴蓝鹊,雌性,成体,,,,,,,,,,,,,,,
335,红嘴蓝鹊成体,红嘴蓝鹊,无法区分,成体,,,,,,,,,,,,,,,
336,红嘴蓝鹊雄性亚成体,红嘴蓝鹊,雄性,亚成体,,,,,,,,,,,,,,,
337,红嘴蓝鹊雌性亚成体,红嘴蓝鹊,雌性,亚成体,,,,,,,,,,,,,,,
338,红嘴蓝鹊亚成体,红嘴蓝鹊,无法区分,亚成体,,,,,,,,,,,,,,,
339,红嘴蓝鹊幼体,红嘴蓝鹊,无法区分,幼体,,,,,,,,,,,,,,,
340,红嘴蓝鹊,红嘴蓝鹊,无法区分,无法区分,,,,,,,,,,,,,,,
341,黑领噪鹛雄性成体,黑领噪鹛,雄性,成体,,,,,,,,,,,,,,,
342,黑领噪鹛雌性成体,黑领噪鹛,雌性,成体,,,,,,,,,,,,,,,
343,黑领噪鹛成体,黑领噪鹛,无法区分,成体,,,,,,,,,,,,,,,
344,黑领噪鹛雄性亚成体,黑领噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
345,黑领噪鹛雌性亚成体,黑领噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
346,黑领噪鹛亚成体,黑领噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
347,黑领噪鹛幼体,黑领噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
348,黑领噪鹛,黑领噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
349,白颊噪鹛雄性成体,白颊噪鹛,雄性,成体,,,,,,,,,,,,,,,
350,白颊噪鹛雌性成体,白颊噪鹛,雌性,成体,,,,,,,,,,,,,,,
351,白颊噪鹛成体,白颊噪鹛,无法区分,成体,,,,,,,,,,,,,,,
352,白颊噪鹛雄性亚成体,白颊噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
353,白颊噪鹛雌性亚成体,白颊噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
354,白颊噪鹛亚成体,白颊噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
355,白颊噪鹛幼体,白颊噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
356,白颊噪鹛,白颊噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
357,黑颊噪鹛雄性成体,黑颊噪鹛,雄性,成体,,,,,,,,,,,,,,,
358,黑颊噪鹛雌性成体,黑颊噪鹛,雌性,成体,,,,,,,,,,,,,,,
359,黑颊噪鹛成体,黑颊噪鹛,无法区分,成体,,,,,,,,,,,,,,,
360,黑颊噪鹛雄性亚成体,黑颊噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
361,黑颊噪鹛雌性亚成体,黑颊噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
362,黑颊噪鹛亚成体,黑颊噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
363,黑颊噪鹛幼体,黑颊噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
364,黑颊噪鹛,黑颊噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
365,栗颊噪鹛雄性成体,栗颊噪鹛,雄性,成体,,,,,,,,,,,,,,,
366,栗颊噪鹛雌性成体,栗颊噪鹛,雌性,成体,,,,,,,,,,,,,,,
367,栗颊噪鹛成体,栗颊噪鹛,无法区分,成体,,,,,,,,,,,,,,,
368,栗颊噪鹛雄性亚成体,栗颊噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
369,栗颊噪鹛雌性亚成体,栗颊噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
370,栗颊噪鹛亚成体,栗颊噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
371,栗颊噪鹛幼体,栗颊噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
372,栗颊噪鹛,栗颊噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
373,宝兴歌鸫雄性成体,宝兴歌鸫,雄性,成体,,,,,,,,,,,,,,,
374,宝兴歌鸫雌性成体,宝兴歌鸫,雌性,成体,,,,,,,,,,,,,,,
375,宝兴歌鸫成体,宝兴歌鸫,无法区分,成体,,,,,,,,,,,,,,,
376,宝兴歌鸫雄性亚成体,宝兴歌鸫,雄性,亚成体,,,,,,,,,,,,,,,
377,宝兴歌鸫雌性亚成体,宝兴歌鸫,雌性,亚成体,,,,,,,,,,,,,,,
378,宝兴歌鸫亚成体,宝兴歌鸫,无法区分,亚成体,,,,,,,,,,,,,,,
379,宝兴歌鸫幼体,宝兴歌鸫,无法区分,幼体,,,,,,,,,,,,,,,
380,宝兴歌鸫,宝兴歌鸫,无法区分,无法区分,,,,,,,,,,,,,,,
381,灰头鸫雄性成体,灰头鸫,雄性,成体,,,,,,,,,,,,,,,
382,灰头鸫雌性成体,灰头鸫,雌性,成体,,,,,,,,,,,,,,,
383,灰头鸫成体,灰头鸫,无法区分,成体,,,,,,,,,,,,,,,
384,灰头鸫雄性亚成体,灰头鸫,雄性,亚成体,,,,,,,,,,,,,,,
385,灰头鸫雌性亚成体,灰头鸫,雌性,亚成体,,,,,,,,,,,,,,,
386,灰头鸫亚成体,灰头鸫,无法区分,亚成体,,,,,,,,,,,,,,,
387,灰头鸫幼体,灰头鸫,无法区分,幼体,,,,,,,,,,,,,,,
388,灰头鸫,灰头鸫,无法区分,无法区分,,,,,,,,,,,,,,,
389,橙头地鸫雄性成体,橙头地鸫,雄性,成体,,,,,,,,,,,,,,,
390,橙头地鸫雌性成体,橙头地鸫,雌性,成体,,,,,,,,,,,,,,,
391,橙头地鸫成体,橙头地鸫,无法区分,成体,,,,,,,,,,,,,,,
392,橙头地鸫雄性亚成体,橙头地鸫,雄性,亚成体,,,,,,,,,,,,,,,
393,橙头地鸫雌性亚成体,橙头地鸫,雌性,亚成体,,,,,,,,,,,,,,,
394,橙头地鸫亚成体,橙头地鸫,无法区分,亚成体,,,,,,,,,,,,,,,
395,橙头地鸫幼体,橙头地鸫,无法区分,幼体,,,,,,,,,,,,,,,
396,橙头地鸫,橙头地鸫,无法区分,无法区分,,,,,,,,,,,,,,,
397,虎斑地鸫雄性成体,虎斑地鸫,雄性,成体,,,,,,,,,,,,,,,
398,虎斑地鸫雌性成体,虎斑地鸫,雌性,成体,,,,,,,,,,,,,,,
399,虎斑地鸫成体,虎斑地鸫,无法区分,成体,,,,,,,,,,,,,,,
400,虎斑地鸫雄性亚成体,虎斑地鸫,雄性,亚成体,,,,,,,,,,,,,,,
401,虎斑地鸫雌性亚成体,虎斑地鸫,雌性,亚成体,,,,,,,,,,,,,,,
402,虎斑地鸫亚成体,虎斑地鸫,无法区分,亚成体,,,,,,,,,,,,,,,
403,虎斑地鸫幼体,虎斑地鸫,无法区分,幼体,,,,,,,,,,,,,,,
404,虎斑地鸫,虎斑地鸫,无法区分,无法区分,,,,,,,,,,,,,,,
405,山斑鸠雄性成体,山斑鸠,雄性,成体,,,,,,,,,,,,,,,
406,山斑鸠雌性成体,山斑鸠,雌性,成体,,,,,,,,,,,,,,,
407,山斑鸠成体,山斑鸠,无法区分,成体,,,,,,,,,,,,,,,
408,山斑鸠雄性亚成体,山斑鸠,雄性,亚成体,,,,,,,,,,,,,,,
409,山斑鸠雌性亚成体,山斑鸠,雌性,亚成体,,,,,,,,,,,,,,,
410,山斑鸠亚成体,山斑鸠,无法区分,亚成体,,,,,,,,,,,,,,,
411,山斑鸠幼体,山斑鸠,无法区分,幼体,,,,,,,,,,,,,,,
412,山斑鸠,山斑鸠,无法区分,无法区分,,,,,,,,,,,,,,,
413,灰翅鸫雄性成体,灰翅鸫,雄性,成体,,,,,,,,,,,,,,,
414,灰翅鸫雌性成体,灰翅鸫,雌性,成体,,,,,,,,,,,,,,,
415,灰翅鸫成体,灰翅鸫,无法区分,成体,,,,,,,,,,,,,,,
416,灰翅鸫雄性亚成体,灰翅鸫,雄性,亚成体,,,,,,,,,,,,,,,
417,灰翅鸫雌性亚成体,灰翅鸫,雌性,亚成体,,,,,,,,,,,,,,,
418,灰翅鸫亚成体,灰翅鸫,无法区分,亚成体,,,,,,,,,,,,,,,
419,灰翅鸫幼体,灰翅鸫,无法区分,幼体,,,,,,,,,,,,,,,
420,灰翅鸫,灰翅鸫,无法区分,无法区分,,,,,,,,,,,,,,,
421,小嘴乌鸦雄性成体,小嘴乌鸦,雄性,成体,,,,,,,,,,,,,,,
422,小嘴乌鸦雌性成体,小嘴乌鸦,雌性,成体,,,,,,,,,,,,,,,
423,小嘴乌鸦成体,小嘴乌鸦,无法区分,成体,,,,,,,,,,,,,,,
424,小嘴乌鸦雄性亚成体,小嘴乌鸦,雄性,亚成体,,,,,,,,,,,,,,,
425,小嘴乌鸦雌性亚成体,小嘴乌鸦,雌性,亚成体,,,,,,,,,,,,,,,
426,小嘴乌鸦亚成体,小嘴乌鸦,无法区分,亚成体,,,,,,,,,,,,,,,
427,小嘴乌鸦幼体,小嘴乌鸦,无法区分,幼体,,,,,,,,,,,,,,,
428,小嘴乌鸦,小嘴乌鸦,无法区分,无法区分,,,,,,,,,,,,,,,
429,斑鸫雄性成体,斑鸫,雄性,成体,,,,,,,,,,,,,,,
430,斑鸫雌性成体,斑鸫,雌性,成体,,,,,,,,,,,,,,,
431,斑鸫成体,斑鸫,无法区分,成体,,,,,,,,,,,,,,,
432,斑鸫雄性亚成体,斑鸫,雄性,亚成体,,,,,,,,,,,,,,,
433,斑鸫雌性亚成体,斑鸫,雌性,亚成体,,,,,,,,,,,,,,,
434,斑鸫亚成体,斑鸫,无法区分,亚成体,,,,,,,,,,,,,,,
435,斑鸫幼体,斑鸫,无法区分,幼体,,,,,,,,,,,,,,,
436,斑鸫,斑鸫,无法区分,无法区分,,,,,,,,,,,,,,,
437,狗獾雄性成体,狗獾,雄性,成体,,,,,,,,,,,,,,,
438,狗獾雌性成体,狗獾,雌性,成体,,,,,,,,,,,,,,,
439,狗獾成体,狗獾,无法区分,成体,,,,,,,,,,,,,,,
440,狗獾雄性亚成体,狗獾,雄性,亚成体,,,,,,,,,,,,,,,
441,狗獾雌性亚成体,狗獾,雌性,亚成体,,,,,,,,,,,,,,,
442,狗獾亚成体,狗獾,无法区分,亚成体,,,,,,,,,,,,,,,
443,狗獾幼体,狗獾,无法区分,幼体,,,,,,,,,,,,,,,
444,狗獾,狗獾,无法区分,无法区分,,,,,,,,,,,,,,,
445,华南兔雄性成体,华南兔,雄性,成体,,,,,,,,,,,,,,,
446,华南兔雌性成体,华南兔,雌性,成体,,,,,,,,,,,,,,,
447,华南兔成体,华南兔,无法区分,成体,,,,,,,,,,,,,,,
448,华南兔雄性亚成体,华南兔,雄性,亚成体,,,,,,,,,,,,,,,
449,华南兔雌性亚成体,华南兔,雌性,亚成体,,,,,,,,,,,,,,,
450,华南兔亚成体,华南兔,无法区分,亚成体,,,,,,,,,,,,,,,
451,华南兔幼体,华南兔,无法区分,幼体,,,,,,,,,,,,,,,
452,华南兔,华南兔,无法区分,无法区分,,,,,,,,,,,,,,,
453,椰子狸雄性成体,椰子狸,雄性,成体,,,,,,,,,,,,,,,
454,椰子狸雌性成体,椰子狸,雌性,成体,,,,,,,,,,,,,,,
455,椰子狸成体,椰子狸,无法区分,成体,,,,,,,,,,,,,,,
456,椰子狸雄性亚成体,椰子狸,雄性,亚成体,,,,,,,,,,,,,,,
457,椰子狸雌性亚成体,椰子狸,雌性,亚成体,,,,,,,,,,,,,,,
458,椰子狸亚成体,椰子狸,无法区分,亚成体,,,,,,,,,,,,,,,
459,椰子狸幼体,椰子狸,无法区分,幼体,,,,,,,,,,,,,,,
460,椰子狸,椰子狸,无法区分,无法区分,,,,,,,,,,,,,,,
461,刺猬雄性成体,刺猬,雄性,成体,,,,,,,,,,,,,,,
462,刺猬雌性成体,刺猬,雌性,成体,,,,,,,,,,,,,,,
463,刺猬成体,刺猬,无法区分,成体,,,,,,,,,,,,,,,
464,刺猬雄性亚成体,刺猬,雄性,亚成体,,,,,,,,,,,,,,,
465,刺猬雌性亚成体,刺猬,雌性,亚成体,,,,,,,,,,,,,,,
466,刺猬亚成体,刺猬,无法区分,亚成体,,,,,,,,,,,,,,,
467,刺猬幼体,刺猬,无法区分,幼体,,,,,,,,,,,,,,,
468,刺猬,刺猬,无法区分,无法区分,,,,,,,,,,,,,,,
469,北树鼩雄性成体,北树鼩,雄性,成体,,,,,,,,,,,,,,,
470,北树鼩雌性成体,北树鼩,雌性,成体,,,,,,,,,,,,,,,
471,北树鼩成体,北树鼩,无法区分,成体,,,,,,,,,,,,,,,
472,北树鼩雄性亚成体,北树鼩,雄性,亚成体,,,,,,,,,,,,,,,
473,北树鼩雌性亚成体,北树鼩,雌性,亚成体,,,,,,,,,,,,,,,
474,北树鼩亚成体,北树鼩,无法区分,亚成体,,,,,,,,,,,,,,,
475,北树鼩幼体,北树鼩,无法区分,幼体,,,,,,,,,,,,,,,
476,北树鼩,北树鼩,无法区分,无法区分,,,,,,,,,,,,,,,
477,海南山鹧鸪雄性成体,海南山鹧鸪,雄性,成体,,,,,,,,,,,,,,,
478,海南山鹧鸪雌性成体,海南山鹧鸪,雌性,成体,,,,,,,,,,,,,,,
479,海南山鹧鸪成体,海南山鹧鸪,无法区分,成体,,,,,,,,,,,,,,,
480,海南山鹧鸪雄性亚成体,海南山鹧鸪,雄性,亚成体,,,,,,,,,,,,,,,
481,海南山鹧鸪雌性亚成体,海南山鹧鸪,雌性,亚成体,,,,,,,,,,,,,,,
482,海南山鹧鸪亚成体,海南山鹧鸪,无法区分,亚成体,,,,,,,,,,,,,,,
483,海南山鹧鸪幼体,海南山鹧鸪,无法区分,幼体,,,,,,,,,,,,,,,
484,海南山鹧鸪,海南山鹧鸪,无法区分,无法区分,,,,,,,,,,,,,,,
485,高原兔雄性成体,高原兔,雄性,成体,,,,,,,,,,,,,,,
486,高原兔雌性成体,高原兔,雌性,成体,,,,,,,,,,,,,,,
487,高原兔成体,高原兔,无法区分,成体,,,,,,,,,,,,,,,
488,高原兔雄性亚成体,高原兔,雄性,亚成体,,,,,,,,,,,,,,,
489,高原兔雌性亚成体,高原兔,雌性,亚成体,,,,,,,,,,,,,,,
490,高原兔亚成体,高原兔,无法区分,亚成体,,,,,,,,,,,,,,,
491,高原兔幼体,高原兔,无法区分,幼体,,,,,,,,,,,,,,,
492,高原兔,高原兔,无法区分,无法区分,,,,,,,,,,,,,,,
493,红尾歌鸲雄性成体,红尾歌鸲,雄性,成体,,,,,,,,,,,,,,,
494,红尾歌鸲雌性成体,红尾歌鸲,雌性,成体,,,,,,,,,,,,,,,
495,红尾歌鸲成体,红尾歌鸲,无法区分,成体,,,,,,,,,,,,,,,
496,红尾歌鸲雄性亚成体,红尾歌鸲,雄性,亚成体,,,,,,,,,,,,,,,
497,红尾歌鸲雌性亚成体,红尾歌鸲,雌性,亚成体,,,,,,,,,,,,,,,
498,红尾歌鸲亚成体,红尾歌鸲,无法区分,亚成体,,,,,,,,,,,,,,,
499,红尾歌鸲幼体,红尾歌鸲,无法区分,幼体,,,,,,,,,,,,,,,
500,红尾歌鸲,红尾歌鸲,无法区分,无法区分,,,,,,,,,,,,,,,
501,马鹿雄性成体,马鹿,雄性,成体,,,,,,,,,,,,,,,
502,马鹿雌性成体,马鹿,雌性,成体,,,,,,,,,,,,,,,
503,马鹿成体,马鹿,无法区分,成体,,,,,,,,,,,,,,,
504,马鹿雄性亚成体,马鹿,雄性,亚成体,,,,,,,,,,,,,,,
505,马鹿雌性亚成体,马鹿,雌性,亚成体,,,,,,,,,,,,,,,
506,马鹿亚成体,马鹿,无法区分,亚成体,,,,,,,,,,,,,,,
507,马鹿幼体,马鹿,无法区分,幼体,,,,,,,,,,,,,,,
508,马鹿,马鹿,无法区分,无法区分,,,,,,,,,,,,,,,
509,黄鼬雄性成体,黄鼬,雄性,成体,,,,,,,,,,,,,,,
510,黄鼬雌性成体,黄鼬,雌性,成体,,,,,,,,,,,,,,,
511,黄鼬成体,黄鼬,无法区分,成体,,,,,,,,,,,,,,,
512,黄鼬雄性亚成体,黄鼬,雄性,亚成体,,,,,,,,,,,,,,,
513,黄鼬雌性亚成体,黄鼬,雌性,亚成体,,,,,,,,,,,,,,,
514,黄鼬亚成体,黄鼬,无法区分,亚成体,,,,,,,,,,,,,,,
515,黄鼬幼体,黄鼬,无法区分,幼体,,,,,,,,,,,,,,,
516,黄鼬,黄鼬,无法区分,无法区分,,,,,,,,,,,,,,,
517,画眉雄性成体,画眉,雄性,成体,,,,,,,,,,,,,,,
518,画眉雌性成体,画眉,雌性,成体,,,,,,,,,,,,,,,
519,画眉成体,画眉,无法区分,成体,,,,,,,,,,,,,,,
520,画眉雄性亚成体,画眉,雄性,亚成体,,,,,,,,,,,,,,,
521,画眉雌性亚成体,画眉,雌性,亚成体,,,,,,,,,,,,,,,
522,画眉亚成体,画眉,无法区分,亚成体,,,,,,,,,,,,,,,
523,画眉幼体,画眉,无法区分,幼体,,,,,,,,,,,,,,,
524,画眉,画眉,无法区分,无法区分,,,,,,,,,,,,,,,
525,北豚尾猴雄性成体,北豚尾猴,雄性,成体,,,,,,,,,,,,,,,
526,北豚尾猴雌性成体,北豚尾猴,雌性,成体,,,,,,,,,,,,,,,
527,北豚尾猴成体,北豚尾猴,无法区分,成体,,,,,,,,,,,,,,,
528,北豚尾猴雄性亚成体,北豚尾猴,雄性,亚成体,,,,,,,,,,,,,,,
529,北豚尾猴雌性亚成体,北豚尾猴,雌性,亚成体,,,,,,,,,,,,,,,
530,北豚尾猴亚成体,北豚尾猴,无法区分,亚成体,,,,,,,,,,,,,,,
531,北豚尾猴幼体,北豚尾猴,无法区分,幼体,,,,,,,,,,,,,,,
532,北豚尾猴,北豚尾猴,无法区分,无法区分,,,,,,,,,,,,,,,
533,红嘴相思鸟雄性成体,红嘴相思鸟,雄性,成体,,,,,,,,,,,,,,,
534,红嘴相思鸟雌性成体,红嘴相思鸟,雌性,成体,,,,,,,,,,,,,,,
535,红嘴相思鸟成体,红嘴相思鸟,无法区分,成体,,,,,,,,,,,,,,,
536,红嘴相思鸟雄性亚成体,红嘴相思鸟,雄性,亚成体,,,,,,,,,,,,,,,
537,红嘴相思鸟雌性亚成体,红嘴相思鸟,雌性,亚成体,,,,,,,,,,,,,,,
538,红嘴相思鸟亚成体,红嘴相思鸟,无法区分,亚成体,,,,,,,,,,,,,,,
539,红嘴相思鸟幼体,红嘴相思鸟,无法区分,幼体,,,,,,,,,,,,,,,
540,红嘴相思鸟,红嘴相思鸟,无法区分,无法区分,,,,,,,,,,,,,,,
541,红白鼯鼠雄性成体,红白鼯鼠,雄性,成体,,,,,,,,,,,,,,,
542,红白鼯鼠雌性成体,红白鼯鼠,雌性,成体,,,,,,,,,,,,,,,
543,红白鼯鼠成体,红白鼯鼠,无法区分,成体,,,,,,,,,,,,,,,
544,红白鼯鼠雄性亚成体,红白鼯鼠,雄性,亚成体,,,,,,,,,,,,,,,
545,红白鼯鼠雌性亚成体,红白鼯鼠,雌性,亚成体,,,,,,,,,,,,,,,
546,红白鼯鼠亚成体,红白鼯鼠,无法区分,亚成体,,,,,,,,,,,,,,,
547,红白鼯鼠幼体,红白鼯鼠,无法区分,幼体,,,,,,,,,,,,,,,
548,红白鼯鼠,红白鼯鼠,无法区分,无法区分,,,,,,,,,,,,,,,
549,灰眶雀鹛雄性成体,灰眶雀鹛,雄性,成体,,,,,,,,,,,,,,,
550,灰眶雀鹛雌性成体,灰眶雀鹛,雌性,成体,,,,,,,,,,,,,,,
551,灰眶雀鹛成体,灰眶雀鹛,无法区分,成体,,,,,,,,,,,,,,,
552,灰眶雀鹛雄性亚成体,灰眶雀鹛,雄性,亚成体,,,,,,,,,,,,,,,
553,灰眶雀鹛雌性亚成体,灰眶雀鹛,雌性,亚成体,,,,,,,,,,,,,,,
554,灰眶雀鹛亚成体,灰眶雀鹛,无法区分,亚成体,,,,,,,,,,,,,,,
555,灰眶雀鹛幼体,灰眶雀鹛,无法区分,幼体,,,,,,,,,,,,,,,
556,灰眶雀鹛,灰眶雀鹛,无法区分,无法区分,,,,,,,,,,,,,,,
557,棕颈钩嘴鹛雄性成体,棕颈钩嘴鹛,雄性,成体,,,,,,,,,,,,,,,
558,棕颈钩嘴鹛雌性成体,棕颈钩嘴鹛,雌性,成体,,,,,,,,,,,,,,,
559,棕颈钩嘴鹛成体,棕颈钩嘴鹛,无法区分,成体,,,,,,,,,,,,,,,
560,棕颈钩嘴鹛雄性亚成体,棕颈钩嘴鹛,雄性,亚成体,,,,,,,,,,,,,,,
561,棕颈钩嘴鹛雌性亚成体,棕颈钩嘴鹛,雌性,亚成体,,,,,,,,,,,,,,,
562,棕颈钩嘴鹛亚成体,棕颈钩嘴鹛,无法区分,亚成体,,,,,,,,,,,,,,,
563,棕颈钩嘴鹛幼体,棕颈钩嘴鹛,无法区分,幼体,,,,,,,,,,,,,,,
564,棕颈钩嘴鹛,棕颈钩嘴鹛,无法区分,无法区分,,,,,,,,,,,,,,,
565,松鼠雄性成体,松鼠,雄性,成体,,,,,,,,,,,,,,,
566,松鼠雌性成体,松鼠,雌性,成体,,,,,,,,,,,,,,,
567,松鼠成体,松鼠,无法区分,成体,,,,,,,,,,,,,,,
568,松鼠雄性亚成体,松鼠,雄性,亚成体,,,,,,,,,,,,,,,
569,松鼠雌性亚成体,松鼠,雌性,亚成体,,,,,,,,,,,,,,,
570,松鼠亚成体,松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
571,松鼠幼体,松鼠,无法区分,幼体,,,,,,,,,,,,,,,
572,松鼠,松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
573,灰头绿啄木鸟雄性成体,灰头绿啄木鸟,雄性,成体,,,,,,,,,,,,,,,
574,灰头绿啄木鸟雌性成体,灰头绿啄木鸟,雌性,成体,,,,,,,,,,,,,,,
575,灰头绿啄木鸟成体,灰头绿啄木鸟,无法区分,成体,,,,,,,,,,,,,,,
576,灰头绿啄木鸟雄性亚成体,灰头绿啄木鸟,雄性,亚成体,,,,,,,,,,,,,,,
577,灰头绿啄木鸟雌性亚成体,灰头绿啄木鸟,雌性,亚成体,,,,,,,,,,,,,,,
578,灰头绿啄木鸟亚成体,灰头绿啄木鸟,无法区分,亚成体,,,,,,,,,,,,,,,
579,灰头绿啄木鸟幼体,灰头绿啄木鸟,无法区分,幼体,,,,,,,,,,,,,,,
580,灰头绿啄木鸟,灰头绿啄木鸟,无法区分,无法区分,,,,,,,,,,,,,,,
581,海南孔雀雉雄性成体,海南孔雀雉,雄性,成体,,,,,,,,,,,,,,,
582,海南孔雀雉雌性成体,海南孔雀雉,雌性,成体,,,,,,,,,,,,,,,
583,海南孔雀雉成体,海南孔雀雉,无法区分,成体,,,,,,,,,,,,,,,
584,海南孔雀雉雄性亚成体,海南孔雀雉,雄性,亚成体,,,,,,,,,,,,,,,
585,海南孔雀雉雌性亚成体,海南孔雀雉,雌性,亚成体,,,,,,,,,,,,,,,
586,海南孔雀雉亚成体,海南孔雀雉,无法区分,亚成体,,,,,,,,,,,,,,,
587,海南孔雀雉幼体,海南孔雀雉,无法区分,幼体,,,,,,,,,,,,,,,
588,海南孔雀雉,海南孔雀雉,无法区分,无法区分,,,,,,,,,,,,,,,
589,橙翅噪鹛雄性成体,橙翅噪鹛,雄性,成体,,,,,,,,,,,,,,,
590,橙翅噪鹛雌性成体,橙翅噪鹛,雌性,成体,,,,,,,,,,,,,,,
591,橙翅噪鹛成体,橙翅噪鹛,无法区分,成体,,,,,,,,,,,,,,,
592,橙翅噪鹛雄性亚成体,橙翅噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
593,橙翅噪鹛雌性亚成体,橙翅噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
594,橙翅噪鹛亚成体,橙翅噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
