ID,标签,物种,性别,年龄,,,,,,,,,,,,,,
595,橙翅噪鹛幼体,橙翅噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
596,橙翅噪鹛,橙翅噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
597,灰翅噪鹛雄性成体,灰翅噪鹛,雄性,成体,,,,,,,,,,,,,,,
598,灰翅噪鹛雌性成体,灰翅噪鹛,雌性,成体,,,,,,,,,,,,,,,
599,灰翅噪鹛成体,灰翅噪鹛,无法区分,成体,,,,,,,,,,,,,,,
600,灰翅噪鹛雄性亚成体,灰翅噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
601,灰翅噪鹛雌性亚成体,灰翅噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
602,灰翅噪鹛亚成体,灰翅噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
603,灰翅噪鹛幼体,灰翅噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
604,灰翅噪鹛,灰翅噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
605,黑喉噪鹛雄性成体,黑喉噪鹛,雄性,成体,,,,,,,,,,,,,,,
606,黑喉噪鹛雌性成体,黑喉噪鹛,雌性,成体,,,,,,,,,,,,,,,
607,黑喉噪鹛成体,黑喉噪鹛,无法区分,成体,,,,,,,,,,,,,,,
608,黑喉噪鹛雄性亚成体,黑喉噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
609,黑喉噪鹛雌性亚成体,黑喉噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
610,黑喉噪鹛亚成体,黑喉噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
611,黑喉噪鹛幼体,黑喉噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
612,黑喉噪鹛,黑喉噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
613,棕熊雄性成体,棕熊,雄性,成体,,,,,,,,,,,,,,,
614,棕熊雌性成体,棕熊,雌性,成体,,,,,,,,,,,,,,,
615,棕熊成体,棕熊,无法区分,成体,,,,,,,,,,,,,,,
616,棕熊雄性亚成体,棕熊,雄性,亚成体,,,,,,,,,,,,,,,
617,棕熊雌性亚成体,棕熊,雌性,亚成体,,,,,,,,,,,,,,,
618,棕熊亚成体,棕熊,无法区分,亚成体,,,,,,,,,,,,,,,
619,棕熊幼体,棕熊,无法区分,幼体,,,,,,,,,,,,,,,
620,棕熊,棕熊,无法区分,无法区分,,,,,,,,,,,,,,,
621,赤狐雄性成体,赤狐,雄性,成体,,,,,,,,,,,,,,,
622,赤狐雌性成体,赤狐,雌性,成体,,,,,,,,,,,,,,,
623,赤狐成体,赤狐,无法区分,成体,,,,,,,,,,,,,,,
624,赤狐雄性亚成体,赤狐,雄性,亚成体,,,,,,,,,,,,,,,
625,赤狐雌性亚成体,赤狐,雌性,亚成体,,,,,,,,,,,,,,,
626,赤狐亚成体,赤狐,无法区分,亚成体,,,,,,,,,,,,,,,
627,赤狐幼体,赤狐,无法区分,幼体,,,,,,,,,,,,,,,
628,赤狐,赤狐,无法区分,无法区分,,,,,,,,,,,,,,,
629,藏狐雄性成体,藏狐,雄性,成体,,,,,,,,,,,,,,,
630,藏狐雌性成体,藏狐,雌性,成体,,,,,,,,,,,,,,,
631,藏狐成体,藏狐,无法区分,成体,,,,,,,,,,,,,,,
632,藏狐雄性亚成体,藏狐,雄性,亚成体,,,,,,,,,,,,,,,
633,藏狐雌性亚成体,藏狐,雌性,亚成体,,,,,,,,,,,,,,,
634,藏狐亚成体,藏狐,无法区分,亚成体,,,,,,,,,,,,,,,
635,藏狐幼体,藏狐,无法区分,幼体,,,,,,,,,,,,,,,
636,藏狐,藏狐,无法区分,无法区分,,,,,,,,,,,,,,,
637,食蟹獴雄性成体,食蟹獴,雄性,成体,,,,,,,,,,,,,,,
638,食蟹獴雌性成体,食蟹獴,雌性,成体,,,,,,,,,,,,,,,
639,食蟹獴成体,食蟹獴,无法区分,成体,,,,,,,,,,,,,,,
640,食蟹獴雄性亚成体,食蟹獴,雄性,亚成体,,,,,,,,,,,,,,,
641,食蟹獴雌性亚成体,食蟹獴,雌性,亚成体,,,,,,,,,,,,,,,
642,食蟹獴亚成体,食蟹獴,无法区分,亚成体,,,,,,,,,,,,,,,
643,食蟹獴幼体,食蟹獴,无法区分,幼体,,,,,,,,,,,,,,,
644,食蟹獴,食蟹獴,无法区分,无法区分,,,,,,,,,,,,,,,
645,小熊猫雄性成体,小熊猫,雄性,成体,,,,,,,,,,,,,,,
646,小熊猫雌性成体,小熊猫,雌性,成体,,,,,,,,,,,,,,,
647,小熊猫成体,小熊猫,无法区分,成体,,,,,,,,,,,,,,,
648,小熊猫雄性亚成体,小熊猫,雄性,亚成体,,,,,,,,,,,,,,,
649,小熊猫雌性亚成体,小熊猫,雌性,亚成体,,,,,,,,,,,,,,,
650,小熊猫亚成体,小熊猫,无法区分,亚成体,,,,,,,,,,,,,,,
651,小熊猫幼体,小熊猫,无法区分,幼体,,,,,,,,,,,,,,,
652,小熊猫,小熊猫,无法区分,无法区分,,,,,,,,,,,,,,,
653,黑麂雄性成体,黑麂,雄性,成体,,,,,,,,,,,,,,,
654,黑麂雌性成体,黑麂,雌性,成体,,,,,,,,,,,,,,,
655,黑麂成体,黑麂,无法区分,成体,,,,,,,,,,,,,,,
656,黑麂雄性亚成体,黑麂,雄性,亚成体,,,,,,,,,,,,,,,
657,黑麂雌性亚成体,黑麂,雌性,亚成体,,,,,,,,,,,,,,,
658,黑麂亚成体,黑麂,无法区分,亚成体,,,,,,,,,,,,,,,
659,黑麂幼体,黑麂,无法区分,幼体,,,,,,,,,,,,,,,
660,黑麂,黑麂,无法区分,无法区分,,,,,,,,,,,,,,,
661,紫啸鸫雄性成体,紫啸鸫,雄性,成体,,,,,,,,,,,,,,,
662,紫啸鸫雌性成体,紫啸鸫,雌性,成体,,,,,,,,,,,,,,,
663,紫啸鸫成体,紫啸鸫,无法区分,成体,,,,,,,,,,,,,,,
664,紫啸鸫雄性亚成体,紫啸鸫,雄性,亚成体,,,,,,,,,,,,,,,
665,紫啸鸫雌性亚成体,紫啸鸫,雌性,亚成体,,,,,,,,,,,,,,,
666,紫啸鸫亚成体,紫啸鸫,无法区分,亚成体,,,,,,,,,,,,,,,
667,紫啸鸫幼体,紫啸鸫,无法区分,幼体,,,,,,,,,,,,,,,
668,紫啸鸫,紫啸鸫,无法区分,无法区分,,,,,,,,,,,,,,,
669,斑鸫雄性成体,斑鸫,雄性,成体,,,,,,,,,,,,,,,
670,斑鸫雌性成体,斑鸫,雌性,成体,,,,,,,,,,,,,,,
671,斑鸫成体,斑鸫,无法区分,成体,,,,,,,,,,,,,,,
672,斑鸫雄性亚成体,斑鸫,雄性,亚成体,,,,,,,,,,,,,,,
673,斑鸫雌性亚成体,斑鸫,雌性,亚成体,,,,,,,,,,,,,,,
674,斑鸫亚成体,斑鸫,无法区分,亚成体,,,,,,,,,,,,,,,
675,斑鸫幼体,斑鸫,无法区分,幼体,,,,,,,,,,,,,,,
676,斑鸫,斑鸫,无法区分,无法区分,,,,,,,,,,,,,,,
677,绿翅金鸠雄性成体,绿翅金鸠,雄性,成体,,,,,,,,,,,,,,,
678,绿翅金鸠雌性成体,绿翅金鸠,雌性,成体,,,,,,,,,,,,,,,
679,绿翅金鸠成体,绿翅金鸠,无法区分,成体,,,,,,,,,,,,,,,
680,绿翅金鸠雄性亚成体,绿翅金鸠,雄性,亚成体,,,,,,,,,,,,,,,
681,绿翅金鸠雌性亚成体,绿翅金鸠,雌性,亚成体,,,,,,,,,,,,,,,
682,绿翅金鸠亚成体,绿翅金鸠,无法区分,亚成体,,,,,,,,,,,,,,,
683,绿翅金鸠幼体,绿翅金鸠,无法区分,幼体,,,,,,,,,,,,,,,
684,绿翅金鸠,绿翅金鸠,无法区分,无法区分,,,,,,,,,,,,,,,
685,白颈长尾雉雄性成体,白颈长尾雉,雄性,成体,,,,,,,,,,,,,,,
686,白颈长尾雉雌性成体,白颈长尾雉,雌性,成体,,,,,,,,,,,,,,,
687,白颈长尾雉成体,白颈长尾雉,无法区分,成体,,,,,,,,,,,,,,,
688,白颈长尾雉雄性亚成体,白颈长尾雉,雄性,亚成体,,,,,,,,,,,,,,,
689,白颈长尾雉雌性亚成体,白颈长尾雉,雌性,亚成体,,,,,,,,,,,,,,,
690,白颈长尾雉亚成体,白颈长尾雉,无法区分,亚成体,,,,,,,,,,,,,,,
691,白颈长尾雉幼体,白颈长尾雉,无法区分,幼体,,,,,,,,,,,,,,,
692,白颈长尾雉,白颈长尾雉,无法区分,无法区分,,,,,,,,,,,,,,,
693,黑颈长尾雉雄性成体,黑颈长尾雉,雄性,成体,,,,,,,,,,,,,,,
694,黑颈长尾雉雌性成体,黑颈长尾雉,雌性,成体,,,,,,,,,,,,,,,
695,黑颈长尾雉成体,黑颈长尾雉,无法区分,成体,,,,,,,,,,,,,,,
696,黑颈长尾雉雄性亚成体,黑颈长尾雉,雄性,亚成体,,,,,,,,,,,,,,,
697,黑颈长尾雉雌性亚成体,黑颈长尾雉,雌性,亚成体,,,,,,,,,,,,,,,
698,黑颈长尾雉亚成体,黑颈长尾雉,无法区分,亚成体,,,,,,,,,,,,,,,
699,黑颈长尾雉幼体,黑颈长尾雉,无法区分,幼体,,,,,,,,,,,,,,,
700,黑颈长尾雉,黑颈长尾雉,无法区分,无法区分,,,,,,,,,,,,,,,
701,黑鹇雄性成体,黑鹇,雄性,成体,,,,,,,,,,,,,,,
702,黑鹇雌性成体,黑鹇,雌性,成体,,,,,,,,,,,,,,,
703,黑鹇成体,黑鹇,无法区分,成体,,,,,,,,,,,,,,,
704,黑鹇雄性亚成体,黑鹇,雄性,亚成体,,,,,,,,,,,,,,,
705,黑鹇雌性亚成体,黑鹇,雌性,亚成体,,,,,,,,,,,,,,,
706,黑鹇亚成体,黑鹇,无法区分,亚成体,,,,,,,,,,,,,,,
707,黑鹇幼体,黑鹇,无法区分,幼体,,,,,,,,,,,,,,,
708,黑鹇,黑鹇,无法区分,无法区分,,,,,,,,,,,,,,,
709,黄腹鼬雄性成体,黄腹鼬,雄性,成体,,,,,,,,,,,,,,,
710,黄腹鼬雌性成体,黄腹鼬,雌性,成体,,,,,,,,,,,,,,,
711,黄腹鼬成体,黄腹鼬,无法区分,成体,,,,,,,,,,,,,,,
712,黄腹鼬雄性亚成体,黄腹鼬,雄性,亚成体,,,,,,,,,,,,,,,
713,黄腹鼬雌性亚成体,黄腹鼬,雌性,亚成体,,,,,,,,,,,,,,,
714,黄腹鼬亚成体,黄腹鼬,无法区分,亚成体,,,,,,,,,,,,,,,
715,黄腹鼬幼体,黄腹鼬,无法区分,幼体,,,,,,,,,,,,,,,
716,黄腹鼬,黄腹鼬,无法区分,无法区分,,,,,,,,,,,,,,,
717,印度野牛雄性成体,印度野牛,雄性,成体,,,,,,,,,,,,,,,
718,印度野牛雌性成体,印度野牛,雌性,成体,,,,,,,,,,,,,,,
719,印度野牛成体,印度野牛,无法区分,成体,,,,,,,,,,,,,,,
720,印度野牛雄性亚成体,印度野牛,雄性,亚成体,,,,,,,,,,,,,,,
721,印度野牛雌性亚成体,印度野牛,雌性,亚成体,,,,,,,,,,,,,,,
722,印度野牛亚成体,印度野牛,无法区分,亚成体,,,,,,,,,,,,,,,
723,印度野牛幼体,印度野牛,无法区分,幼体,,,,,,,,,,,,,,,
724,印度野牛,印度野牛,无法区分,无法区分,,,,,,,,,,,,,,,
725,丘鹬雄性成体,丘鹬,雄性,成体,,,,,,,,,,,,,,,
726,丘鹬雌性成体,丘鹬,雌性,成体,,,,,,,,,,,,,,,
727,丘鹬成体,丘鹬,无法区分,成体,,,,,,,,,,,,,,,
728,丘鹬雄性亚成体,丘鹬,雄性,亚成体,,,,,,,,,,,,,,,
729,丘鹬雌性亚成体,丘鹬,雌性,亚成体,,,,,,,,,,,,,,,
730,丘鹬亚成体,丘鹬,无法区分,亚成体,,,,,,,,,,,,,,,
731,丘鹬幼体,丘鹬,无法区分,幼体,,,,,,,,,,,,,,,
732,丘鹬,丘鹬,无法区分,无法区分,,,,,,,,,,,,,,,
733,棕背黑头鸫雄性成体,棕背黑头鸫,雄性,成体,,,,,,,,,,,,,,,
734,棕背黑头鸫雌性成体,棕背黑头鸫,雌性,成体,,,,,,,,,,,,,,,
735,棕背黑头鸫成体,棕背黑头鸫,无法区分,成体,,,,,,,,,,,,,,,
736,棕背黑头鸫雄性亚成体,棕背黑头鸫,雄性,亚成体,,,,,,,,,,,,,,,
737,棕背黑头鸫雌性亚成体,棕背黑头鸫,雌性,亚成体,,,,,,,,,,,,,,,
738,棕背黑头鸫亚成体,棕背黑头鸫,无法区分,亚成体,,,,,,,,,,,,,,,
739,棕背黑头鸫幼体,棕背黑头鸫,无法区分,幼体,,,,,,,,,,,,,,,
740,棕背黑头鸫,棕背黑头鸫,无法区分,无法区分,,,,,,,,,,,,,,,
741,白喉扇尾鹟雄性成体,白喉扇尾鹟,雄性,成体,,,,,,,,,,,,,,,
742,白喉扇尾鹟雌性成体,白喉扇尾鹟,雌性,成体,,,,,,,,,,,,,,,
743,白喉扇尾鹟成体,白喉扇尾鹟,无法区分,成体,,,,,,,,,,,,,,,
744,白喉扇尾鹟雄性亚成体,白喉扇尾鹟,雄性,亚成体,,,,,,,,,,,,,,,
745,白喉扇尾鹟雌性亚成体,白喉扇尾鹟,雌性,亚成体,,,,,,,,,,,,,,,
746,白喉扇尾鹟亚成体,白喉扇尾鹟,无法区分,亚成体,,,,,,,,,,,,,,,
747,白喉扇尾鹟幼体,白喉扇尾鹟,无法区分,幼体,,,,,,,,,,,,,,,
748,白喉扇尾鹟,白喉扇尾鹟,无法区分,无法区分,,,,,,,,,,,,,,,
749,长尾地鸫雄性成体,长尾地鸫,雄性,成体,,,,,,,,,,,,,,,
750,长尾地鸫雌性成体,长尾地鸫,雌性,成体,,,,,,,,,,,,,,,
751,长尾地鸫成体,长尾地鸫,无法区分,成体,,,,,,,,,,,,,,,
752,长尾地鸫雄性亚成体,长尾地鸫,雄性,亚成体,,,,,,,,,,,,,,,
753,长尾地鸫雌性亚成体,长尾地鸫,雌性,亚成体,,,,,,,,,,,,,,,
754,长尾地鸫亚成体,长尾地鸫,无法区分,亚成体,,,,,,,,,,,,,,,
755,长尾地鸫幼体,长尾地鸫,无法区分,幼体,,,,,,,,,,,,,,,
756,长尾地鸫,长尾地鸫,无法区分,无法区分,,,,,,,,,,,,,,,
757,绿背山雀雄性成体,绿背山雀,雄性,成体,,,,,,,,,,,,,,,
758,绿背山雀雌性成体,绿背山雀,雌性,成体,,,,,,,,,,,,,,,
759,绿背山雀成体,绿背山雀,无法区分,成体,,,,,,,,,,,,,,,
760,绿背山雀雄性亚成体,绿背山雀,雄性,亚成体,,,,,,,,,,,,,,,
761,绿背山雀雌性亚成体,绿背山雀,雌性,亚成体,,,,,,,,,,,,,,,
762,绿背山雀亚成体,绿背山雀,无法区分,亚成体,,,,,,,,,,,,,,,
763,绿背山雀幼体,绿背山雀,无法区分,幼体,,,,,,,,,,,,,,,
764,绿背山雀,绿背山雀,无法区分,无法区分,,,,,,,,,,,,,,,
765,红原鸡雄性成体,红原鸡,雄性,成体,,,,,,,,,,,,,,,
766,红原鸡雌性成体,红原鸡,雌性,成体,,,,,,,,,,,,,,,
767,红原鸡成体,红原鸡,无法区分,成体,,,,,,,,,,,,,,,
768,红原鸡雄性亚成体,红原鸡,雄性,亚成体,,,,,,,,,,,,,,,
769,红原鸡雌性亚成体,红原鸡,雌性,亚成体,,,,,,,,,,,,,,,
770,红原鸡亚成体,红原鸡,无法区分,亚成体,,,,,,,,,,,,,,,
771,红原鸡幼体,红原鸡,无法区分,幼体,,,,,,,,,,,,,,,
772,红原鸡,红原鸡,无法区分,无法区分,,,,,,,,,,,,,,,
773,巨松鼠雄性成体,巨松鼠,雄性,成体,,,,,,,,,,,,,,,
774,巨松鼠雌性成体,巨松鼠,雌性,成体,,,,,,,,,,,,,,,
775,巨松鼠成体,巨松鼠,无法区分,成体,,,,,,,,,,,,,,,
776,巨松鼠雄性亚成体,巨松鼠,雄性,亚成体,,,,,,,,,,,,,,,
777,巨松鼠雌性亚成体,巨松鼠,雌性,亚成体,,,,,,,,,,,,,,,
778,巨松鼠亚成体,巨松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
779,巨松鼠幼体,巨松鼠,无法区分,幼体,,,,,,,,,,,,,,,
780,巨松鼠,巨松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
781,灰头小鼯鼠雄性成体,灰头小鼯鼠,雄性,成体,,,,,,,,,,,,,,,
782,灰头小鼯鼠雌性成体,灰头小鼯鼠,雌性,成体,,,,,,,,,,,,,,,
783,灰头小鼯鼠成体,灰头小鼯鼠,无法区分,成体,,,,,,,,,,,,,,,
784,灰头小鼯鼠雄性亚成体,灰头小鼯鼠,雄性,亚成体,,,,,,,,,,,,,,,
785,灰头小鼯鼠雌性亚成体,灰头小鼯鼠,雌性,亚成体,,,,,,,,,,,,,,,
786,灰头小鼯鼠亚成体,灰头小鼯鼠,无法区分,亚成体,,,,,,,,,,,,,,,
787,灰头小鼯鼠幼体,灰头小鼯鼠,无法区分,幼体,,,,,,,,,,,,,,,
788,灰头小鼯鼠,灰头小鼯鼠,无法区分,无法区分,,,,,,,,,,,,,,,
789,猞猁雄性成体,猞猁,雄性,成体,,,,,,,,,,,,,,,
790,猞猁雌性成体,猞猁,雌性,成体,,,,,,,,,,,,,,,
791,猞猁成体,猞猁,无法区分,成体,,,,,,,,,,,,,,,
792,猞猁雄性亚成体,猞猁,雄性,亚成体,,,,,,,,,,,,,,,
793,猞猁雌性亚成体,猞猁,雌性,亚成体,,,,,,,,,,,,,,,
794,猞猁亚成体,猞猁,无法区分,亚成体,,,,,,,,,,,,,,,
795,猞猁幼体,猞猁,无法区分,幼体,,,,,,,,,,,,,,,
796,猞猁,猞猁,无法区分,无法区分,,,,,,,,,,,,,,,
797,灰胸竹鸡雄性成体,灰胸竹鸡,雄性,成体,,,,,,,,,,,,,,,
798,灰胸竹鸡雌性成体,灰胸竹鸡,雌性,成体,,,,,,,,,,,,,,,
799,灰胸竹鸡成体,灰胸竹鸡,无法区分,成体,,,,,,,,,,,,,,,
800,灰胸竹鸡雄性亚成体,灰胸竹鸡,雄性,亚成体,,,,,,,,,,,,,,,
801,灰胸竹鸡雌性亚成体,灰胸竹鸡,雌性,亚成体,,,,,,,,,,,,,,,
802,灰胸竹鸡亚成体,灰胸竹鸡,无法区分,亚成体,,,,,,,,,,,,,,,
803,灰胸竹鸡幼体,灰胸竹鸡,无法区分,幼体,,,,,,,,,,,,,,,
804,灰胸竹鸡,灰胸竹鸡,无法区分,无法区分,,,,,,,,,,,,,,,
805,斑背噪鹛雄性成体,斑背噪鹛,雄性,成体,,,,,,,,,,,,,,,
806,斑背噪鹛雌性成体,斑背噪鹛,雌性,成体,,,,,,,,,,,,,,,
807,斑背噪鹛成体,斑背噪鹛,无法区分,成体,,,,,,,,,,,,,,,
808,斑背噪鹛雄性亚成体,斑背噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
809,斑背噪鹛雌性亚成体,斑背噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
810,斑背噪鹛亚成体,斑背噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
811,斑背噪鹛幼体,斑背噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
812,斑背噪鹛,斑背噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
813,白眉朱雀雄性成体,白眉朱雀,雄性,成体,,,,,,,,,,,,,,,
814,白眉朱雀雌性成体,白眉朱雀,雌性,成体,,,,,,,,,,,,,,,
815,白眉朱雀成体,白眉朱雀,无法区分,成体,,,,,,,,,,,,,,,
816,白眉朱雀雄性亚成体,白眉朱雀,雄性,亚成体,,,,,,,,,,,,,,,
817,白眉朱雀雌性亚成体,白眉朱雀,雌性,亚成体,,,,,,,,,,,,,,,
818,白眉朱雀亚成体,白眉朱雀,无法区分,亚成体,,,,,,,,,,,,,,,
819,白眉朱雀幼体,白眉朱雀,无法区分,幼体,,,,,,,,,,,,,,,
820,白眉朱雀,白眉朱雀,无法区分,无法区分,,,,,,,,,,,,,,,
821,方尾鹟雄性成体,方尾鹟,雄性,成体,,,,,,,,,,,,,,,
822,方尾鹟雌性成体,方尾鹟,雌性,成体,,,,,,,,,,,,,,,
823,方尾鹟成体,方尾鹟,无法区分,成体,,,,,,,,,,,,,,,
824,方尾鹟雄性亚成体,方尾鹟,雄性,亚成体,,,,,,,,,,,,,,,
825,方尾鹟雌性亚成体,方尾鹟,雌性,亚成体,,,,,,,,,,,,,,,
826,方尾鹟亚成体,方尾鹟,无法区分,亚成体,,,,,,,,,,,,,,,
827,方尾鹟幼体,方尾鹟,无法区分,幼体,,,,,,,,,,,,,,,
828,方尾鹟,方尾鹟,无法区分,无法区分,,,,,,,,,,,,,,,
829,乌鸫雄性成体,乌鸫,雄性,成体,,,,,,,,,,,,,,,
830,乌鸫雌性成体,乌鸫,雌性,成体,,,,,,,,,,,,,,,
831,乌鸫成体,乌鸫,无法区分,成体,,,,,,,,,,,,,,,
832,乌鸫雄性亚成体,乌鸫,雄性,亚成体,,,,,,,,,,,,,,,
833,乌鸫雌性亚成体,乌鸫,雌性,亚成体,,,,,,,,,,,,,,,
834,乌鸫亚成体,乌鸫,无法区分,亚成体,,,,,,,,,,,,,,,
835,乌鸫幼体,乌鸫,无法区分,幼体,,,,,,,,,,,,,,,
836,乌鸫,乌鸫,无法区分,无法区分,,,,,,,,,,,,,,,
837,大嘴乌鸦雄性成体,大嘴乌鸦,雄性,成体,,,,,,,,,,,,,,,
838,大嘴乌鸦雌性成体,大嘴乌鸦,雌性,成体,,,,,,,,,,,,,,,
839,大嘴乌鸦成体,大嘴乌鸦,无法区分,成体,,,,,,,,,,,,,,,
840,大嘴乌鸦雄性亚成体,大嘴乌鸦,雄性,亚成体,,,,,,,,,,,,,,,
841,大嘴乌鸦雌性亚成体,大嘴乌鸦,雌性,亚成体,,,,,,,,,,,,,,,
842,大嘴乌鸦亚成体,大嘴乌鸦,无法区分,亚成体,,,,,,,,,,,,,,,
843,大嘴乌鸦幼体,大嘴乌鸦,无法区分,幼体,,,,,,,,,,,,,,,
844,大嘴乌鸦,大嘴乌鸦,无法区分,无法区分,,,,,,,,,,,,,,,
845,大斑啄木鸟雄性成体,大斑啄木鸟,雄性,成体,,,,,,,,,,,,,,,
846,大斑啄木鸟雌性成体,大斑啄木鸟,雌性,成体,,,,,,,,,,,,,,,
847,大斑啄木鸟成体,大斑啄木鸟,无法区分,成体,,,,,,,,,,,,,,,
848,大斑啄木鸟雄性亚成体,大斑啄木鸟,雄性,亚成体,,,,,,,,,,,,,,,
849,大斑啄木鸟雌性亚成体,大斑啄木鸟,雌性,亚成体,,,,,,,,,,,,,,,
850,大斑啄木鸟亚成体,大斑啄木鸟,无法区分,亚成体,,,,,,,,,,,,,,,
851,大斑啄木鸟幼体,大斑啄木鸟,无法区分,幼体,,,,,,,,,,,,,,,
852,大斑啄木鸟,大斑啄木鸟,无法区分,无法区分,,,,,,,,,,,,,,,
853,花鼠雄性成体,花鼠,雄性,成体,,,,,,,,,,,,,,,
854,花鼠雌性成体,花鼠,雌性,成体,,,,,,,,,,,,,,,
855,花鼠成体,花鼠,无法区分,成体,,,,,,,,,,,,,,,
856,花鼠雄性亚成体,花鼠,雄性,亚成体,,,,,,,,,,,,,,,
857,花鼠雌性亚成体,花鼠,雌性,亚成体,,,,,,,,,,,,,,,
858,花鼠亚成体,花鼠,无法区分,亚成体,,,,,,,,,,,,,,,
859,花鼠幼体,花鼠,无法区分,幼体,,,,,,,,,,,,,,,
860,花鼠,花鼠,无法区分,无法区分,,,,,,,,,,,,,,,
861,白眉鸫雄性成体,白眉鸫,雄性,成体,,,,,,,,,,,,,,,
862,白眉鸫雌性成体,白眉鸫,雌性,成体,,,,,,,,,,,,,,,
863,白眉鸫成体,白眉鸫,无法区分,成体,,,,,,,,,,,,,,,
864,白眉鸫雄性亚成体,白眉鸫,雄性,亚成体,,,,,,,,,,,,,,,
865,白眉鸫雌性亚成体,白眉鸫,雌性,亚成体,,,,,,,,,,,,,,,
866,白眉鸫亚成体,白眉鸫,无法区分,亚成体,,,,,,,,,,,,,,,
867,白眉鸫幼体,白眉鸫,无法区分,幼体,,,,,,,,,,,,,,,
868,白眉鸫,白眉鸫,无法区分,无法区分,,,,,,,,,,,,,,,
869,白腹鸫雄性成体,白腹鸫,雄性,成体,,,,,,,,,,,,,,,
870,白腹鸫雌性成体,白腹鸫,雌性,成体,,,,,,,,,,,,,,,
871,白腹鸫成体,白腹鸫,无法区分,成体,,,,,,,,,,,,,,,
872,白腹鸫雄性亚成体,白腹鸫,雄性,亚成体,,,,,,,,,,,,,,,
873,白腹鸫雌性亚成体,白腹鸫,雌性,亚成体,,,,,,,,,,,,,,,
874,白腹鸫亚成体,白腹鸫,无法区分,亚成体,,,,,,,,,,,,,,,
875,白腹鸫幼体,白腹鸫,无法区分,幼体,,,,,,,,,,,,,,,
876,白腹鸫,白腹鸫,无法区分,无法区分,,,,,,,,,,,,,,,
877,紫貂雄性成体,紫貂,雄性,成体,,,,,,,,,,,,,,,
878,紫貂雌性成体,紫貂,雌性,成体,,,,,,,,,,,,,,,
879,紫貂成体,紫貂,无法区分,成体,,,,,,,,,,,,,,,
880,紫貂雄性亚成体,紫貂,雄性,亚成体,,,,,,,,,,,,,,,
881,紫貂雌性亚成体,紫貂,雌性,亚成体,,,,,,,,,,,,,,,
882,紫貂亚成体,紫貂,无法区分,亚成体,,,,,,,,,,,,,,,
883,紫貂幼体,紫貂,无法区分,幼体,,,,,,,,,,,,,,,
884,紫貂,紫貂,无法区分,无法区分,,,,,,,,,,,,,,,
885,红颊长吻松鼠雄性成体,红颊长吻松鼠,雄性,成体,,,,,,,,,,,,,,,
886,红颊长吻松鼠雌性成体,红颊长吻松鼠,雌性,成体,,,,,,,,,,,,,,,
887,红颊长吻松鼠成体,红颊长吻松鼠,无法区分,成体,,,,,,,,,,,,,,,
